StoryID,TITLE,AUTHOR,YEAR,words_count
Р527,Вставная новелла,Шаламов Варлам Тихонович ,1994,1493
S457,В пользу раненых,Павлинский М.,1915,1530
191,Осенняя заря,Павленко Петр Андреевич,1947,1718
S385,Скрипка,Татищев Леонид Леонидович,1909,1765
S284,Елочка,Пришелец Антон,1924,1984
P135,На берегу,Пикуль Валентин ,1950,2000
S736,"Приключение Казановы, не рассказанное им самим",Муратов Павел Павлович,1922,2169
P85,Рекорды и урожай,Овечкин Валентин,1948,2381
P194,В медоносном краю,Лидин Владимир Германович,1974,2393
P88,В последний час,Бек Александр Альфредович,1952,2620
P249,Лунный свет,Нагибин Юрий Маркович,1979,2648
240,Вечером,Тэсс Татьяна,1948,2855
Р382,Плотник и его жена,Насущенко Владимир Егорович,1997,2897
Р303,Свидания по утрам,Белов Василий Иванович,1977,3884
P274,Лесенка в небо,Королёв Анатолий Иванович ,1981,4180
Р316,Актриса,Алексин Анатолий Георгиевич,1975,1451
Р421,Отпуск,Малахов Олег Сергеевич,2000,2510
S416,Подкликал!,Матвеев Николай Петрович (Матвеев-Амурский),1913,1025
P266,Поединок,Баженов Георгий Викторович,1986,1131
S032,Осенний луч,Гордин Владимир Николаевич,1910,1246
S497,Правду узнал,Туркин Евгений Васильевич,1919,1367
Р305,Как жаль,Солженицын Александр Исаевич,1978,1472
S417,Цветы,Незванова А.,1913,1564
S599,На Москве,Крыжановская Вера Ивановна,1906,1681
S495,Малые маяки,Иванова Анна Павловна (Веснина Анна),1919,1799
Р399,Брюссель,Бурмистров Тарас,1997,1915
S166,Пахомовка,Низовой Павел Георгиевич,1921,2021
Р584,Третий поворот налево,Довлатов Сергей Донатович,1995,2148
P171,Первый бал,Котенко Илья,1954,2231
S292,Пугающая психология,Сибиряков Николай,1924,2372
S580,Триумф художника,Златовратский Николай Николаевич,1911,2448
S747,Свободная Профессия,Асеев Николай Николаевич,1925,2569
S678,Любовь,Чехов Михаил Павлович,1906,2672
P57,Огуречный агроном,Никитин Сергей,1959,2836
Р373,Душа напрокат,Варшавский Илья Иосифович,1971,2996
P293,Беседы при ясной луне,Шукшин Василий Макарович,1972,3533
Р547,Дочь Бухары,Улицкая Людмила Евгеньевна,1993,5022
Р336,Галоши,Ерофеев Виктор,1983,2004
Р396,Советы и сюжеты,Ирина Борисова,1980,916
P164,Большое сердце,Савчук Александр Федорович,1952,1134
S326,Почтовая жизнь,Громыхин Наум,1905,1367
Р613,Мать,Секоян Анаит Вагаршаковна,1951,1466
P67,Мост,Гайдар Аркадий,1941,1570
45,Отрава,Власов Юрий,1967,1676
Р408,Лохматый,Зиганшин Камиль,1986,1805
Р629,Бабушка,Соловьев Станислав,1991,1892
Р572,Солдатенок,Айтматов Чингиз,1970,2026
S214,Карл-Янкель,Бабель Исаак Эммануилович,1930,2147
60,Зарницы,Гончар Олесь,1950,2258
S236,Соль земли,Дмитриев Виктор Александрович,1930,2354
Р338,Стена плача,Лимонов Эдуард ,1988,2460
57,Приехала,Гиппиус Зинаида Николаевна,1936,2564
P151,Первое письмо,Воробьев Константин Дмитриевич,1958,2676
S135,Любовь,Зощенко Михаил Михайлович,1921,2835
S206,Митькино горе,Шульговский Николай Николаевич,1916,3004
P209,Вторая берёзовая аллея,Горышин Глеб Александрович ,1996,3320
P66,Ночь летнего солнцестояния,Соболев Леонид,1941,5043
72,Девушка с цветами,Зорин Валентин Николаевич,1960,1065
Р310,Антип уехал в Казантип,Искандер Фазиль,1999,822
149,Солнце под рукой,Логинов-Лесняк П. С.,1931,1178
P225,Неряха,Воронин Сергей Алексеевич,1976,1209
Р565,Физики ,Межирицкий Петр Яковлевич,1985,1385
Р567,Виноградова,Межирицкий Петр Яковлевич,1977,1454
215,Сад,Садкович Николай Фёдорович,1945,1610
S319,Жутко!,Соловьев-Несмелов Николай Александрович,1901,1649
S798,Путешествие на Марс,Лукаш Иван Созонтович,1923,1840
88,Та осень,Зайцев Борис Константинович,1934,1889
S024,Обостренные отношения,Чириков Евгений Николаевич,1903,2052
D043,Подарок океана,Семенов Сергей Аристархович,1928,2083
P106,Поздним вечером,Бондарев Юрий Васильевич,1949,2341
S243,Первое лето,Зингер Макс Эммануилович,1928,2499
